                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3529,                 3.2968,                 1.7893,                0.85558,                0.17857,                0.13531,                0.09537,                  2.687,                 5.1899,                 2.9186,              0.0004057,              0.0004057,              0.0004057
                      2,                 1.2135,                 2.1641,                 1.7024,                0.36546,                0.42776,                0.32394,                0.14638,                 2.5526,                 10.473,                  2.933,             0.00079911,             0.00079911,             0.00079911
                      3,                 1.2206,                 1.9588,                 1.7169,                0.85208,                0.17857,                 0.1512,                0.06508,                 2.7216,                  6.223,                 3.1939,              0.0011689,              0.0011689,              0.0011689
                      4,                 1.2244,                 1.9179,                 1.7086,                0.80749,                0.03571,                0.04859,                0.00982,                 3.2356,                 6.0683,                 3.6957,              0.0011439,              0.0011439,              0.0011439
                      5,                 1.1698,                 1.8864,                   1.68,                0.70709,                0.22919,                0.28338,                0.17264,                  2.395,                 3.2473,                 2.9617,              0.0011439,              0.0011439,              0.0011439
                      6,                 1.1689,                 1.8546,                 1.6886,                0.60288,                0.29643,                0.14788,                0.06948,                 2.1783,                 5.5798,                 2.7375,              0.0011086,              0.0011086,              0.0011086
                      7,                 1.0332,                 1.6614,                 1.5931,                0.57778,                0.37031,                0.27228,                0.16195,                 2.4045,                 3.6608,                 2.6448,              0.0010732,              0.0010732,              0.0010732
                      8,                 1.0981,                 1.6896,                 1.6338,                0.22646,                0.34482,                0.31842,                0.19035,                 2.4789,                 3.1946,                 2.8273,              0.0010379,              0.0010379,              0.0010379
                      9,                 1.0411,                 1.6088,                 1.6042,                0.35739,                0.35867,                0.28762,                0.11989,                 2.3062,                 3.5449,                 2.5529,              0.0010025,              0.0010025,              0.0010025
                     10,                 1.0173,                 1.5676,                  1.574,                0.55697,                0.35814,                0.31751,                0.17056,                  2.023,                 2.7342,                 2.1886,             0.00096714,             0.00096714,             0.00096714
                     11,                 1.0502,                 1.4998,                 1.6109,                0.37583,                0.36481,                0.35317,                0.20614,                 2.2903,                 2.5901,                 2.4979,             0.00093179,             0.00093179,             0.00093179
                     12,                 1.0392,                 1.4631,                 1.5778,                0.62582,                0.33041,                0.35334,                0.21881,                  2.389,                 2.9311,                 2.8849,             0.00089643,             0.00089643,             0.00089643
                     13,                  1.022,                 1.4435,                 1.5835,                0.33984,                0.48687,                0.41474,                0.19101,                 2.4998,                 2.6652,                 2.6856,             0.00086107,             0.00086107,             0.00086107
                     14,                 0.9334,                 1.4197,                 1.5079,                0.42624,                0.35922,                0.39092,                0.19324,                 2.3983,                 2.7779,                  2.679,             0.00082571,             0.00082571,             0.00082571
                     15,                0.93166,                 1.3757,                 1.4935,                0.39111,                0.45289,                0.41357,                0.23469,                 2.1968,                 3.9611,                 2.4468,             0.00079036,             0.00079036,             0.00079036
                     16,                0.92516,                 1.3041,                 1.4972,                0.77518,                0.52046,                0.63438,                0.31229,                 2.2683,                 2.8261,                 2.5502,               0.000755,               0.000755,               0.000755
                     17,                  0.901,                 1.2824,                 1.4913,                0.70245,                 0.4633,                0.50427,                0.28492,                 2.3034,                 2.2938,                 2.5929,             0.00071964,             0.00071964,             0.00071964
                     18,                0.87374,                 1.2035,                 1.4559,                 0.7329,                0.43053,                 0.4391,                0.26797,                  2.313,                 2.2175,                 2.5901,             0.00068429,             0.00068429,             0.00068429
                     19,                0.94766,                 1.2839,                 1.4951,                0.56537,                0.49201,                0.52249,                0.28836,                 2.3551,                 2.3179,                 2.5675,             0.00064893,             0.00064893,             0.00064893
                     20,                0.89923,                 1.1921,                 1.4913,                 0.5422,                0.47892,                0.50518,                0.29157,                 2.2984,                 2.5649,                 2.4848,             0.00061357,             0.00061357,             0.00061357
                     21,                0.91821,                 1.2182,                 1.4879,                0.51901,                0.50248,                0.52067,                0.33021,                 2.1867,                 2.8531,                 2.3564,             0.00057821,             0.00057821,             0.00057821
                     22,                 0.9141,                 1.1397,                 1.4674,                0.49219,                0.50859,                0.51286,                0.28523,                 2.2237,                 2.4907,                 2.5334,             0.00054286,             0.00054286,             0.00054286
                     23,                0.82693,                 1.1234,                 1.4166,                0.57887,                 0.5184,                0.51801,                0.30174,                 2.2244,                 2.6603,                 2.5998,              0.0005075,              0.0005075,              0.0005075
                     24,                0.86051,                 1.1033,                 1.4552,                 0.7489,                0.48626,                0.44637,                0.25262,                 2.2574,                 2.7874,                 2.4963,             0.00047214,             0.00047214,             0.00047214
                     25,                 0.8579,                 1.0905,                 1.4445,                0.58802,                0.54887,                0.52544,                0.30269,                 2.1465,                 2.6127,                  2.436,             0.00043679,             0.00043679,             0.00043679
                     26,                 1.1445,                 1.1759,                 1.7671,                0.49339,                0.58698,                0.56483,                0.33704,                 2.2027,                 2.7491,                 2.5103,             0.00040143,             0.00040143,             0.00040143
                     27,                 1.0997,                 1.0489,                 1.7265,                0.60227,                0.60172,                0.61173,                0.34369,                 2.0738,                 2.7318,                 2.3813,             0.00036607,             0.00036607,             0.00036607
                     28,                 1.0848,                0.97332,                 1.6908,                 0.5595,                0.54363,                0.55651,                0.32575,                  1.941,                 2.2703,                 2.1298,             0.00033071,             0.00033071,             0.00033071
                     29,                 1.0557,                0.93006,                 1.6661,                0.55348,                0.53698,                0.57206,                0.31184,                 1.9987,                 2.2803,                 2.2218,             0.00029536,             0.00029536,             0.00029536
                     30,                 1.0188,                 0.8895,                  1.666,                0.82455,                0.50472,                0.55702,                0.29981,                 2.0948,                 2.0092,                 2.3023,                0.00026,                0.00026,                0.00026
                     31,                 1.0162,                 0.8281,                 1.6208,                0.41778,                 0.6273,                0.51629,                 0.2998,                 2.2205,                 2.3409,                 2.4947,             0.00022464,             0.00022464,             0.00022464
                     32,                 1.0137,                0.80918,                 1.6207,                0.83868,                0.54505,                0.55737,                0.33447,                 2.1133,                 2.5833,                 2.4154,             0.00018929,             0.00018929,             0.00018929
                     33,                0.94659,                0.75661,                 1.5938,                0.59394,                0.60273,                0.58237,                0.35583,                   2.06,                 2.4984,                 2.3873,             0.00015393,             0.00015393,             0.00015393
                     34,                0.96987,                0.78793,                  1.587,                0.84326,                0.59505,                0.59508,                0.34787,                 2.1126,                  2.312,                 2.4558,             0.00011857,             0.00011857,             0.00011857
                     35,                0.94508,                0.72532,                 1.5711,                 0.5677,                0.60085,                0.55764,                0.33908,                 2.0875,                 2.4796,                  2.343,             8.3214e-05,             8.3214e-05,             8.3214e-05
